seccion_id,titulo_seccion,nota,producto,descripcion,precio,orden,dos_columnas,linea_acento,par_grupo,nav_etiqueta
desayunos,Desayunos y meriendas,(Todas las opciones incluyen una infusión),,,,0,,si,,Desayunos
desayunos,,,Clásico,"Dos medialunas o tortillas, jugo de naranja",3000,1,,,,
desayunos,,,Light Palmeras,"3 tostadas, queso crema y mermelada, jugo de naranja, yogurt, cereal",4000,2,,,,
desayunos,,,De campo,"Tostada de pan de campo o rescoldo, manteca y dulce de leche, jugo de naranja",4000,3,,,,
desayunos,,,Especial tostado,"Jamón, queso, tomate y orégano",5000,4,,,,
desayunos,,,Energético,"Avena, frutos secos y banana",4500,5,,,,
desayunos,,,Americano,"Huevos revueltos, panceta y toast",5500,6,,,,
desayunos,,,Avocado,"Pan de masa madre, palta y huevo poché",7000,7,,,,
momentos,Momentos especiales,,,,,0,si,,,Momentos
momentos,,,Momento Palmeras,Café con leche y dos medialunas,4000,1,,,,
momentos,,,Relax,Infusión y porción de torta del día,4500,2,,,,
momentos,,,Dulce,Capuchino y alfajor o brownie,4000,3,,,,
momentos,,,Refrescante,Limonada y tostado simple,5000,4,,,,
momentos,,,Saludable,Licuado y tostada integral,5500,5,,,,
cafeteria,Cafetería,,,,,0,,,cafe,Cafetería
cafeteria,,,Expresso,,2500,1,,,cafe,
cafeteria,,,Capuchino,,3000,2,,,cafe,
cafeteria,,,Café con leche,,3000,3,,,cafe,
cafeteria,,,Café lágrima,,2800,4,,,cafe,
cafeteria,,,Cortado,,2800,5,,,cafe,
cafeteria,,,Macchiato,,3200,6,,,cafe,
bebidas-calientes,Bebidas calientes,,,,,0,,,cafe,
bebidas-calientes,,,Submarino,,3500,1,,,cafe,
bebidas-calientes,,,Té / infusiones,,2500,2,,,cafe,
bebidas-calientes,,,Mate cocido,,2500,3,,,cafe,
bebidas-calientes,,,Chocolatada,,3500,4,,,cafe,
acompanar,Para acompañar,,,,,0,,si,snack,Acompañar
acompanar,,,Jamón y queso,,3500,1,,,snack,
acompanar,,,Tortilla,,3000,2,,,snack,
acompanar,,,Facturas (2 u.),,2500,3,,,snack,
acompanar,,,Porción torta,,Consultar,4,,,snack,
sandwiches,Sandwich especiales,,,,,0,,si,snack,Sandwich
sandwiches,,,Palmeras Perú,"Pollo, palta, mayo al ají",8500,1,,,snack,
sandwiches,,,Palmeras San Martín,"Lomito, lechuga, tomate y huevo",9000,2,,,snack,
bebidas,Bebidas en general,,,,,0,si,,,Bebidas
bebidas,,,Agua saborizada,,2000,1,,,,
bebidas,,,Agua mineral,,2000,2,,,,
bebidas,,,Gaseosa 500 cc,,3000,3,,,,
bebidas,,,Gaseosa 350 cc,,2500,4,,,,
bebidas,,,Gaseosa 1500 cc,,4500,5,,,,
bebidas,,,Limonada,,3500,6,,,,
bebidas,,,Jugo de naranja,,3500,7,,,,
bebidas,,,Licuado,,Consultar,8,,,,
